Year,Country,Solar_Capacity_GW,Wind_Capacity_GW,Hydro_Capacity_GW,Biomass_Capacity_GW,Geothermal_Capacity_GW,Total_Renewable_Capacity_GW,Renewable_Energy_Percentage,CO2_Reduction_Million_Tonnes,Investment_Billion_USD,Employment_Thousand_Jobs
2019,Denmark,224.27,185.8,58.49,34.95,20.32,523.83,43.97,984.05,223.45,206.8
2019,Australia,197.9,134.33,43.8,24.0,10.95,410.99,24.97,510.41,161.01,177.1
2019,Brazil,222.76,170.8,49.12,25.5,17.78,485.97,23.8,869.69,205.59,181.0
2019,China,242.87,218.83,59.43,36.71,16.81,574.65,33.0,825.86,230.94,213.2
2019,USA,189.23,137.86,48.29,26.76,16.63,418.77,31.86,627.76,133.32,195.2
2019,Spain,228.32,174.01,62.76,30.35,20.36,515.8,32.84,1130.05,235.11,196.3
2019,Japan,171.72,134.76,52.84,21.71,15.77,396.8,31.49,523.49,122.33,133.4
2019,India,208.31,174.54,60.51,29.02,20.46,492.84,24.2,349.48,186.89,197.8
2019,UK,189.67,135.46,49.55,23.09,17.34,415.11,30.83,629.84,159.72,164.1
2020,Germany,259.37,215.64,55.07,34.51,18.94,583.54,32.04,784.84,209.3,211.7
2020,Denmark,265.52,237.72,62.68,32.4,21.43,619.74,37.19,896.56,257.28,241.4
2020,Australia,202.19,161.39,51.12,21.59,13.97,450.28,37.58,1186.35,180.02,198.6
2020,Brazil,245.61,218.63,63.1,31.12,17.09,575.55,26.22,685.96,199.87,188.7
2020,China,306.03,241.35,75.94,40.14,22.98,686.45,48.65,1227.85,257.77,272.8
2020,USA,221.64,164.7,52.8,26.62,14.73,480.5,36.26,1192.81,164.53,203.4
2020,Spain,262.24,211.1,58.29,31.16,20.6,583.39,32.72,858.57,236.5,221.4
2020,Japan,180.92,147.39,53.78,28.5,14.04,424.63,29.5,850.12,136.61,188.2
2020,India,244.62,205.56,54.93,26.84,16.24,548.2,35.37,923.09,204.41,224.6
2020,UK,208.38,179.47,48.94,28.04,18.09,482.94,28.2,647.26,220.13,191.3
2021,Germany,310.36,232.56,68.65,40.92,17.46,669.95,36.22,991.95,261.94,249.6
2021,Denmark,316.96,259.09,68.22,41.9,24.11,710.29,43.99,1037.92,274.25,249.5
2021,Australia,242.94,187.83,58.45,37.43,20.54,547.19,32.27,986.93,203.84,177.4
2021,Brazil,270.92,209.83,61.24,34.86,24.55,601.4,39.73,960.5,264.59,198.8
2021,China,367.36,298.17,67.61,45.43,26.68,805.24,44.42,1205.51,365.41,282.7
2021,USA,251.98,195.93,54.25,34.59,17.69,554.44,35.31,811.05,230.58,219.0
2021,Spain,322.88,245.92,66.15,34.56,22.11,691.62,43.14,1191.96,256.56,263.0
2021,Japan,231.56,177.71,63.38,27.08,15.11,514.84,22.91,797.07,207.09,195.2
2021,India,294.3,224.2,76.73,36.09,22.02,653.33,42.78,1141.62,261.48,226.1
2021,UK,264.71,223.06,66.73,37.78,18.98,611.26,31.05,757.43,231.11,236.4
2022,Germany,327.08,287.44,71.21,38.92,22.78,747.42,36.13,1026.62,303.47,248.7
2022,Denmark,355.55,292.11,83.85,41.52,23.19,796.22,45.62,1099.62,269.06,281.2
2022,Australia,268.19,221.97,70.74,37.28,20.06,618.25,31.52,1173.94,240.18,226.2
2022,Brazil,319.26,257.18,67.78,36.38,22.31,702.91,41.79,963.14,266.74,255.6
2022,China,414.95,346.03,69.25,49.77,31.49,911.49,41.38,983.17,357.57,288.9
2022,USA,274.97,217.32,72.01,37.76,23.84,625.9,41.88,877.73,239.01,240.3
2022,Spain,344.03,290.7,72.55,40.13,26.92,774.33,47.85,1142.01,335.69,258.8
2022,Japan,252.16,201.54,56.45,32.78,16.7,559.63,39.22,952.77,207.55,227.7
2022,India,324.71,254.13,62.47,40.97,21.54,703.81,51.95,986.43,325.43,264.2
2022,UK,294.03,231.64,67.0,35.89,24.21,652.76,40.07,1024.32,252.73,239.1
2023,Germany,389.08,295.12,71.26,46.03,27.54,829.03,47.68,1194.77,344.95,283.9
2023,Denmark,406.22,332.77,77.11,47.42,25.39,888.91,56.55,1484.53,367.12,322.7
2023,Australia,318.65,249.71,56.8,32.76,21.15,679.08,40.33,1085.91,251.49,246.8
2023,Brazil,350.45,281.51,66.97,38.63,22.9,760.45,40.92,1181.06,295.01,315.5
2023,China,474.93,377.48,85.71,53.1,30.85,1022.07,57.61,1824.26,408.08,357.2
2023,USA,308.97,252.52,76.85,35.92,26.82,701.09,45.14,1044.1,290.65,266.6
2023,Spain,406.22,307.44,76.36,44.26,27.85,862.13,53.1,1354.24,323.29,305.7
2023,Japan,280.11,223.68,67.4,36.7,21.72,629.61,37.05,677.09,250.59,231.1
2023,India,374.72,287.39,70.59,45.76,26.32,804.78,50.61,1269.44,326.6,298.1
2023,UK,324.84,264.77,67.69,37.7,23.38,718.38,44.11,1030.95,315.12,246.6
2024,Germany,426.13,338.88,91.23,47.99,31.66,935.9,45.37,1174.36,391.79,317.2
2024,Denmark,470.15,363.46,95.55,57.0,30.67,1016.83,53.72,1561.07,432.59,326.2
2024,Australia,329.3,264.55,63.78,36.54,22.19,716.36,39.51,982.57,297.68,285.3
2024,Brazil,386.52,325.07,78.43,44.55,29.15,863.72,44.04,1158.27,350.33,305.4
2024,China,525.39,437.64,94.31,53.91,33.75,1145.01,59.47,1391.21,478.78,391.3
2024,USA,343.54,272.74,75.11,38.99,26.37,756.75,45.94,921.13,337.45,297.9
2024,Spain,437.62,351.9,87.68,49.75,31.82,958.77,64.43,1584.11,371.53,304.3
2024,Japan,294.69,241.33,74.97,35.05,22.85,668.89,40.12,1181.21,316.54,236.0
2024,India,407.36,338.15,85.16,51.59,29.87,912.13,49.43,1324.31,382.67,319.3
2024,UK,370.07,300.53,80.85,46.15,27.3,824.9,45.66,1163.62,344.13,267.7
2025,Germany,473.69,372.85,90.14,54.84,32.38,1023.9,57.23,1226.83,424.93,349.7
2025,Denmark,526.63,401.54,96.1,54.75,37.15,1116.17,60.02,1542.44,452.16,362.8
2025,Australia,360.54,293.55,80.37,38.92,26.27,799.64,43.0,1254.24,289.54,271.6
2025,Brazil,438.77,360.52,84.67,46.33,33.76,964.06,46.26,826.68,388.8,312.5
2025,China,564.79,465.67,106.22,58.31,35.44,1230.42,71.86,1894.09,498.02,427.7
2025,USA,371.8,293.8,74.04,43.36,27.49,810.49,47.04,1228.9,309.97,311.7
2025,Spain,486.68,398.94,94.21,53.87,34.14,1067.84,60.99,1621.12,451.58,352.9
2025,Japan,337.09,263.28,77.2,36.97,27.6,742.15,42.8,855.36,292.56,249.8
2025,India,460.91,356.78,85.27,43.83,30.1,976.88,43.13,840.68,410.21,341.8
2025,UK,404.25,312.26,79.76,44.99,25.68,866.95,57.52,1569.53,345.58,300.4
